filepath,liver_maskpath,tumor_maskpath,study_number,instance_number,liver_mask_empty,tumor_mask_empty
/root/autodl-tmp/LiTS/volume-0_46.png,/root/autodl-tmp/LiTS/segmentation-0_livermask_46.png,/root/autodl-tmp/LiTS/segmentation-0_lesionmask_46.png,0,46,True,True
/root/autodl-tmp/LiTS/volume-0_56.png,/root/autodl-tmp/LiTS/segmentation-0_livermask_56.png,/root/autodl-tmp/LiTS/segmentation-0_lesionmask_56.png,0,56,True,True
/root/autodl-tmp/LiTS/volume-0_57.png,/root/autodl-tmp/LiTS/segmentation-0_livermask_57.png,/root/autodl-tmp/LiTS/segmentation-0_lesionmask_57.png,0,57,True,True
/root/autodl-tmp/LiTS/volume-0_58.png,/root/autodl-tmp/LiTS/segmentation-0_livermask_58.png,/root/autodl-tmp/LiTS/segmentation-0_lesionmask_58.png,0,58,True,True
/root/autodl-tmp/LiTS/volume-0_59.png,/root/autodl-tmp/LiTS/segmentation-0_livermask_59.png,/root/autodl-tmp/LiTS/segmentation-0_lesionmask_59.png,0,59,True,True
/root/autodl-tmp/LiTS/volume-0_60.png,/root/autodl-tmp/LiTS/segmentation-0_livermask_60.png,/root/autodl-tmp/LiTS/segmentation-0_lesionmask_60.png,0,60,True,True
/root/autodl-tmp/LiTS/volume-0_61.png,/root/autodl-tmp/LiTS/segmentation-0_livermask_61.png,/root/autodl-tmp/LiTS/segmentation-0_lesionmask_61.png,0,61,True,True
/root/autodl-tmp/LiTS/volume-0_62.png,/root/autodl-tmp/LiTS/segmentation-0_livermask_62.png,/root/autodl-tmp/LiTS/segmentation-0_lesionmask_62.png,0,62,True,True
/root/autodl-tmp/LiTS/volume-0_65.png,/root/autodl-tmp/LiTS/segmentation-0_livermask_65.png,/root/autodl-tmp/LiTS/segmentation-0_lesionmask_65.png,0,65,True,True
/root/autodl-tmp/LiTS/volume-0_66.png,/root/autodl-tmp/LiTS/segmentation-0_livermask_66.png,/root/autodl-tmp/LiTS/segmentation-0_lesionmask_66.png,0,66,True,True
