filepath,liver_maskpath,tumor_maskpath,study_number,instance_number,liver_mask_empty,tumor_mask_empty
/root/autodl-tmp/LiTS/volume-29_0.png,/root/autodl-tmp/LiTS/segmentation-29_livermask_0.png,/root/autodl-tmp/LiTS/segmentation-29_lesionmask_0.png,29,0,False,False
/root/autodl-tmp/LiTS/volume-29_1.png,/root/autodl-tmp/LiTS/segmentation-29_livermask_1.png,/root/autodl-tmp/LiTS/segmentation-29_lesionmask_1.png,29,1,False,False
/root/autodl-tmp/LiTS/volume-29_2.png,/root/autodl-tmp/LiTS/segmentation-29_livermask_2.png,/root/autodl-tmp/LiTS/segmentation-29_lesionmask_2.png,29,2,False,False
/root/autodl-tmp/LiTS/volume-29_3.png,/root/autodl-tmp/LiTS/segmentation-29_livermask_3.png,/root/autodl-tmp/LiTS/segmentation-29_lesionmask_3.png,29,3,False,False
/root/autodl-tmp/LiTS/volume-29_4.png,/root/autodl-tmp/LiTS/segmentation-29_livermask_4.png,/root/autodl-tmp/LiTS/segmentation-29_lesionmask_4.png,29,4,False,False
/root/autodl-tmp/LiTS/volume-29_5.png,/root/autodl-tmp/LiTS/segmentation-29_livermask_5.png,/root/autodl-tmp/LiTS/segmentation-29_lesionmask_5.png,29,5,False,False
/root/autodl-tmp/LiTS/volume-29_6.png,/root/autodl-tmp/LiTS/segmentation-29_livermask_6.png,/root/autodl-tmp/LiTS/segmentation-29_lesionmask_6.png,29,6,False,False
/root/autodl-tmp/LiTS/volume-29_7.png,/root/autodl-tmp/LiTS/segmentation-29_livermask_7.png,/root/autodl-tmp/LiTS/segmentation-29_lesionmask_7.png,29,7,False,False
/root/autodl-tmp/LiTS/volume-29_8.png,/root/autodl-tmp/LiTS/segmentation-29_livermask_8.png,/root/autodl-tmp/LiTS/segmentation-29_lesionmask_8.png,29,8,False,False
/root/autodl-tmp/LiTS/volume-29_9.png,/root/autodl-tmp/LiTS/segmentation-29_livermask_9.png,/root/autodl-tmp/LiTS/segmentation-29_lesionmask_9.png,29,9,False,False
/root/autodl-tmp/LiTS/volume-29_10.png,/root/autodl-tmp/LiTS/segmentation-29_livermask_10.png,/root/autodl-tmp/LiTS/segmentation-29_lesionmask_10.png,29,10,False,False
/root/autodl-tmp/LiTS/volume-29_11.png,/root/autodl-tmp/LiTS/segmentation-29_livermask_11.png,/root/autodl-tmp/LiTS/segmentation-29_lesionmask_11.png,29,11,False,False
/root/autodl-tmp/LiTS/volume-29_12.png,/root/autodl-tmp/LiTS/segmentation-29_livermask_12.png,/root/autodl-tmp/LiTS/segmentation-29_lesionmask_12.png,29,12,False,False
/root/autodl-tmp/LiTS/volume-29_13.png,/root/autodl-tmp/LiTS/segmentation-29_livermask_13.png,/root/autodl-tmp/LiTS/segmentation-29_lesionmask_13.png,29,13,False,False
